,title_id,title,country,num_country
2221,tt9906260,Hero,India,1
2872,tt8983164,Chhalaang,India,1
3083,tt7721800,Bharat,India,1
3946,tt8239946,Tumbbad,"India, Sweden",2
4219,tt5186714,The Salesman,"Iran, France",2
4316,tt1158939,Never Grow Old,"Ireland, Belgium, France, Luxembourg, United Kingdom",5
4498,tt5542802,Raabta,India,1
4505,tt9176086,Saina,India,1
4577,tt6107548,Late Night,United States,1
4995,tt1974419,The Neon Demon,"United States, Belgium, Denmark, France",4
5172,tt0330843,Saathiya,India,1
5252,tt1182937,Rab Ne Bana Di Jodi,India,1
5647,tt9827834,Sylvie's Love,United States,1
5721,tt12882620,Evil Eye,United States,1
5772,tt11080108,The Map of Tiny Perfect Things,United States,1
5932,tt1592873,LOL,United States,1
5934,tt0172684,Kuch Kuch Hota Hai,India,1
7163,tt2323964,Mere Dad Ki Maruti,India,1
7411,tt1185420,Dostana,"India, United States",2
8982,tt6463320,Zana,"Kosovo, Albania, United States, Georgia",4
9735,tt0072562,Saturday Night Live,United States,1
9743,tt11794642,Big Sky,United States,1
9870,tt2660806,Mom,United States,1
10032,tt4419214,Queen Sugar,United States,1
10072,tt0082782,My Bloody Valentine,Canada,1
10076,tt0094006,Some Kind of Wonderful,United States,1
10078,tt2118624,The Final Girls,"United States, Canada",2
10136,tt7018644,Grown-ish,United States,1
10143,tt5093026,Papillon,"United States, Czech Republic, Spain",3
10270,tt3316796,Alone,United States,1
10486,tt1191056,The Real Housewives of New York City,United States,1
10655,tt7242816,Harrow,"United States, Australia",2
10744,tt1341188,How Do You Know,United States,1
10752,tt3200980,Where Hope Grows,United States,1
10757,tt4536768,The Osiris Child,Australia,1
10809,tt0808151,Angels & Demons,"United States, Italy",2
10818,tt2252938,Wander Over Yonder,"United States, Canada, Ireland",3
10893,tt1411598,The Real Housewives of New Jersey,United States,1
10900,tt6470478,The Good Doctor,United States,1
10926,tt2861424,Rick and Morty,United States,1
10956,tt1596786,American Pickers,United States,1
10969,tt1785123,Storage Wars,United States,1
11044,tt2802850,Fargo,United States,1
11089,tt0462499,Rambo,"Germany, United States, Thailand",3
11133,tt1575539,Elena Undone,United States,1
11187,tt5111874,My Scientology Movie,United Kingdom,1
11259,tt8663516,Child's Play,"Canada, United States",2
11292,tt0338096,Dirty Dancing: Havana Nights,United States,1
