country_id,unique_country
C0,United States
C1,Denmark
C2, France
C3, Sweden
C4, Germany
C5, Belgium
C6, Tunisia
C7,United Kingdom
C8,India
C9, United Kingdom
C10, Australia
C11, United States
C12,South Korea
C13,Australia
C14,Brazil
C15,Spain
C16, Italy
C17,Nigeria
C18,France
C19, Egypt
C20,Philippines
C21,China
C22,Chile
C23,Italy
C24,Argentina
C25,Israel
C26, Mexico
C27,South Africa
C28,Russia
C29,Austria
C30, Malta
C31,Canada
C32,Japan
C33, Spain
C34,Hong Kong
C35,Egypt
C36,Netherlands
C37, Denmark
C38,Thailand
C39,Colombia
C40,Mexico
C41,Germany
C42, Canada
C43,Mozambique
C44,Singapore
C45,Afghanistan
C46, Argentina
C47,Indonesia
C48, Ireland
C49, China
C50, India
C51,Turkey
C52,Norway
C53,Ireland
C54, Poland
C55, Hungary
C56, Luxembourg
C57, South Africa
C58,Romania
C59, Switzerland
C60, Chile
C61,Belgium
C62, Hong Kong
C63, Colombia
C64, Czech Republic
C65, South Korea
C66,Iran
C67,Kosovo
C68, Netherlands
C69, Greece
C70, Peru
C71,Lebanon
C72,New Zealand
C73, Thailand
C74,Finland
C75,Sweden
C76, Brazil
C77,Portugal
C78,Vietnam
C79,Cambodia
C80, Cambodia
C81, Romania
C82, Malaysia
C83, Norway
C84, Qatar
C85, Syria
C86, Israel
C87,Kuwait
C88,Taiwan
C89, Russia
C90, Bulgaria
C91, United Arab Emirates
C92,Pakistan
C93,Poland
C94, Liechtenstein
C95, Japan
C96, Bahamas
C97, Iceland
C98, East Germany
C99, West Germany
C100, Iran
C101,Mauritius
C102,United Arab Emirates
C103, Angola
C104,
C105, Algeria
C106,Soviet Union
C107,Czech Republic
C108, Indonesia
C109, Lebanon
C110,Saudi Arabia
C111, Kuwait
C112, Austria
C113, Taiwan
C114, Finland
C115, Ukraine
C116, Ghana
C117, Burkina Faso
C118, Ethiopia
C119,Croatia
C120,Uruguay
C121, Soviet Union
C122, New Zealand
C123, Slovakia
C124, Latvia
C125, Singapore
C126,Venezuela
C127, Albania
C128, Uruguay
C129,Serbia
C130, Namibia
C131, Zimbabwe
C132,Malaysia
C133, Jordan
C134, Philippines
C135, Pakistan
C136, Bermuda
C137, Ecuador
C138, Morocco
C139, Kazakhstan
C140,Iceland
C141,Bulgaria
C142, Georgia
C143,Peru
C144,Kenya
C145,Switzerland
C146, Cayman Islands
C147, Slovenia
C148, Armenia
C149, Mongolia
C150, Costa Rica
C151, Serbia
C152, Iraq
C153,Jordan
C154, Senegal
C155, Guatemala
C156,Namibia
C157,Hungary
C158,Luxembourg
C159, Nigeria
C160, Saudi Arabia
C161,Georgia
C162,Ghana
C163,Cameroon
C164, Sri Lanka
C165,Ukraine
C166, Bangladesh
C167,Jamaica
C168, Croatia
C169, Montenegro
C170, Panama
C171, Afghanistan
C172, Kenya
C173, Azerbaijan
C174, Monaco
C175, Portugal
C176, Venezuela
C177, Nicaragua
C178, Lithuania
C179, Nepal
C180,Cyprus
C181,Somalia
C182, Sudan
C183,Greece
C184,Slovenia
C185, Botswana
C186, Turkey
C187, Samoa
C188, Cuba
C189,Guatemala
C190, Vatican City
C191,Belarus
C192, French Polynesia
C193, Malawi
C194,Paraguay
C195,Puerto Rico
C196, Uganda
C197,Zimbabwe
C198,Bangladesh
C199,Senegal
